State/UT,District,Year,MURDER,CULPABLE HOMICIDE NOT AMOUNTING TO MURDER,RAPE,KIDNAPPING & ABDUCTION,KIDNAPPING AND ABDUCTION OF WOMEN AND GIRLS,KIDNAPPING AND ABDUCTION OF OTHERS,ROBBERY,BURGLARY,RIOTS,DOWRY DEATHS,CRUELTY BY HUSBAND OR HIS RELATIVES,IMPORTATION OF GIRLS FROM FOREIGN COUNTRIES,CAUSING DEATH BY NEGLIGENCE,OTHER IPC CRIMES,TOTAL CRIMES
JHARKHAND,GODDA,2004,36,10,12,13,5,8,24,44,23,20,26,0,128,183,519
JHARKHAND,GODDA,2004,194,26,57,98,83,15,89,140,89,27,265,0,115,1390,2490
JHARKHAND,GODDA,2004,253,21,44,90,59,31,93,95,91,23,73,0,112,976,1871
JHARKHAND,GODDA,2004,74,17,28,54,39,15,27,35,37,21,163,0,43,701,1200
JHARKHAND,GODDA,2004,63,21,18,31,30,1,18,89,75,22,37,0,71,547,992
JHARKHAND,GODDA,2004,74,32,42,52,43,9,26,66,52,23,101,0,10,578,1056
JHARKHAND,GODDA,2004,74,20,22,39,30,9,23,47,38,14,9,0,69,619,974
JHARKHAND,GODDA,2004,93,24,22,52,1,51,47,89,84,19,173,0,0,971,1574
JHARKHAND,GODDA,2004,19,6,6,10,10,0,6,20,40,4,15,0,16,114,256
JHARKHAND,GODDA,2004,137,34,31,89,53,36,48,82,34,41,21,0,64,815,1396
JHARKHAND,GODDA,2004,17,7,4,9,9,0,6,21,11,6,0,0,22,100,203
KARNATAKA,GADAG,2004,22,0,2,9,4,5,93,23,0,0,0,0,0,78,227
KARNATAKA,GADAG,2004,0,0,0,0,0,0,1,0,0,0,0,0,0,6,7
KARNATAKA,GADAG,2004,12,0,10,9,0,9,14,16,0,0,0,0,23,51,135
KARNATAKA,GADAG,2004,6,0,1,1,0,1,1,8,0,0,0,0,5,12,34
KARNATAKA,GADAG,2004,6,0,0,2,0,2,4,2,0,0,0,0,2,21,37
KARNATAKA,GADAG,2004,3,1,2,0,0,0,0,1,0,0,0,0,0,2,9
KARNATAKA,GADAG,2004,6,2,1,0,0,0,0,5,0,0,0,0,0,13,27
KARNATAKA,GADAG,2004,10,0,1,0,0,0,2,5,5,0,0,0,0,21,44
KARNATAKA,GADAG,2004,4,1,0,2,0,2,0,2,1,0,0,0,1,20,31
KARNATAKA,GADAG,2004,1,1,1,0,0,0,2,8,0,0,0,0,3,15,31
KARNATAKA,GADAG,2004,70,5,18,23,4,19,117,70,6,0,0,0,34,239,582
KARNATAKA,GADAG,2004,51,0,27,10,10,0,19,92,94,13,63,0,197,881,1447
KERALA,ERNAKULAM,2004,18,3,15,15,10,5,1,97,111,2,57,0,4,1343,1666
KERALA,ERNAKULAM,2004,3,0,8,3,3,0,0,38,5,0,4,0,21,74,156
KERALA,ERNAKULAM COMMR.,2004,9,0,13,13,11,2,7,50,40,1,10,0,47,469,659
KERALA,ERNAKULAM COMMR.,2004,2,0,0,0,0,0,0,1,2,0,1,0,12,27,45
KERALA,ERNAKULAM COMMR.,2004,19,1,15,7,6,1,2,97,45,1,29,0,61,1071,1348
KERALA,ERNAKULAM COMMR.,2004,10,2,34,16,14,2,5,139,114,1,24,0,77,1187,1609
KERALA,ERNAKULAM COMMR.,2004,9,1,9,13,10,3,3,36,58,1,15,0,38,380,563
KERALA,ERNAKULAM COMMR.,2004,4,3,20,9,8,1,2,49,64,0,28,0,43,603,825
KERALA,ERNAKULAM COMMR.,2004,10,0,10,7,5,2,1,47,32,1,22,0,51,423,604
KERALA,ERNAKULAM COMMR.,2004,110,12,153,123,99,24,25,766,562,8,252,0,469,7015,9495
KERALA,ERNAKULAM COMMR.,2004,70,1,17,60,49,11,30,151,55,0,0,0,24,646,1054
KERALA,ERNAKULAM COMMR.,2004,18,0,8,12,10,2,1,32,10,0,0,0,16,205,302
KERALA,ERNAKULAM RURAL,2004,86,2,15,87,74,13,6,139,116,1,0,0,0,806,1258
KERALA,ERNAKULAM RURAL,2004,7,0,4,11,10,1,0,14,13,0,2,0,38,548,637
KERALA,ERNAKULAM RURAL,2004,60,3,6,61,54,7,7,61,92,0,0,0,18,376,684
KERALA,ERNAKULAM RURAL,2004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KERALA,ERNAKULAM RURAL,2004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KERALA,ERNAKULAM RURAL,2004,83,0,4,20,20,0,3,33,19,0,1,0,39,334,536
KERALA,ERNAKULAM RURAL,2004,15,2,12,34,29,5,1,56,56,0,0,0,18,223,417
KERALA,ERNAKULAM RURAL,2004,25,0,7,34,30,4,3,30,52,0,0,0,1,147,299
KERALA,ERNAKULAM RURAL,2004,28,8,19,54,54,0,6,267,89,5,38,0,103,2329,2946
KERALA,ERNAKULAM RURAL,2004,1,0,1,1,1,0,0,6,7,0,0,0,0,74,90
MADHYA PRADESH,DINDORI,2004,77,8,39,78,27,51,67,69,185,38,132,0,6,1533,2232
MADHYA PRADESH,DINDORI,2004,10,0,0,1,1,0,4,3,5,3,0,0,0,85,111
MADHYA PRADESH,DINDORI,2004,79,0,31,71,11,60,26,39,152,11,45,0,24,320,798
MADHYA PRADESH,DINDORI,2004,68,2,6,38,8,30,34,50,98,6,25,0,30,487,844
MADHYA PRADESH,DINDORI,2004,71,7,79,71,34,37,27,55,171,19,34,0,66,804,1404
MADHYA PRADESH,DINDORI,2004,10,0,2,5,3,2,20,5,7,0,1,0,2,139,191
MADHYA PRADESH,DINDORI,2004,50,5,18,43,10,33,36,16,199,9,27,0,70,630,1103
MADHYA PRADESH,DINDORI,2004,26,8,32,80,80,0,12,32,110,4,36,0,27,416,783
MADHYA PRADESH,DINDORI,2004,63,4,13,50,13,37,38,35,90,10,9,0,44,334,690
MADHYA PRADESH,DINDORI,2004,58,4,11,23,11,12,41,35,143,7,8,0,10,705,1045
MADHYA PRADESH,DINDORI,2004,60,0,61,69,33,36,43,67,338,34,111,0,14,788,1585
MADHYA PRADESH,DINDORI,2004,120,8,29,129,56,73,79,127,365,45,93,0,81,1992,3068
MAHARASHTRA,DHULE,2004,111,7,53,125,88,37,31,352,304,43,162,0,434,2804,4426
MAHARASHTRA,DHULE,2004,72,3,81,66,43,23,13,345,57,17,518,0,437,1728,3337
MAHARASHTRA,DHULE,2004,2579,163,1016,1526,1030,496,596,8457,2540,512,8388,2,11452,36460,73691
MAHARASHTRA,DHULE,2004,8,1,9,7,5,2,1,17,6,0,1,0,0,51,101
MAHARASHTRA,DHULE,2004,1,0,3,3,0,3,3,9,12,0,0,0,0,18,49
MAHARASHTRA,DHULE,2004,5,0,0,1,1,0,0,4,1,0,0,0,0,11,22
MAHARASHTRA,DHULE,2004,4,0,0,2,2,0,0,18,4,0,0,0,0,20,48
MAHARASHTRA,DHULE,2004,3,0,2,4,2,2,4,5,1,0,0,0,0,33,52
MAHARASHTRA,DHULE,2004,10,0,5,7,5,2,4,13,1,0,0,0,0,58,98
MAHARASHTRA,DHULE,2004,7,0,4,8,4,4,7,51,1,0,0,0,0,126,204
MAHARASHTRA,DHULE,2004,1,0,11,14,10,4,5,20,14,0,1,0,0,89,155
MAHARASHTRA,DHULE,2004,1,0,1,0,0,0,0,9,0,0,0,0,0,17,28
MAHARASHTRA,GADCHIROLI,2004,29,0,44,35,31,4,32,138,46,41,28,0,0,1488,1881
MAHARASHTRA,GADCHIROLI,2004,33,2,22,14,14,0,19,58,81,8,90,0,93,611,1031
MAHARASHTRA,GADCHIROLI,2004,18,3,16,13,12,1,43,56,36,6,53,0,70,518,832
MAHARASHTRA,GADCHIROLI,2004,23,0,31,17,17,0,13,56,39,8,70,0,55,1079,1391
MAHARASHTRA,GADCHIROLI,2004,32,0,33,6,1,5,31,83,92,6,43,0,53,901,1280
MAHARASHTRA,GADCHIROLI,2004,9,1,7,4,4,0,3,28,22,2,19,0,0,40,135
MAHARASHTRA,GADCHIROLI,2004,41,0,45,51,38,13,129,296,77,50,126,0,173,1729,2717
MAHARASHTRA,GADCHIROLI,2004,15,0,13,3,3,0,9,17,18,1,17,0,21,123,237
MAHARASHTRA,GADCHIROLI,2004,35,0,19,20,17,3,24,67,95,12,25,0,107,645,1049
MAHARASHTRA,GADCHIROLI,2004,17,1,5,7,7,0,1,25,21,0,8,0,35,194,314
MAHARASHTRA,GADCHIROLI,2004,62,3,15,18,11,7,37,116,95,21,30,0,211,651,1259
MAHARASHTRA,GADCHIROLI,2004,27,3,19,29,18,11,31,73,24,14,32,0,148,623,1023
MAHARASHTRA,GONDIA,2004,37,6,49,24,24,0,21,10,60,22,123,0,134,497,983
MAHARASHTRA,GONDIA,2004,51,25,58,31,24,7,16,32,187,9,139,0,162,403,1113
MAHARASHTRA,GONDIA,2004,110,26,92,56,52,4,22,45,209,40,230,0,260,2329,3419
MAHARASHTRA,GONDIA,2004,20,8,92,41,38,3,3,11,15,6,173,0,80,455,904
MAHARASHTRA,GONDIA,2004,16,8,33,27,26,1,3,2,24,8,97,0,63,380,661
MAHARASHTRA,GONDIA,2004,43,31,21,17,17,0,5,5,19,8,56,0,48,344,597
MAHARASHTRA,GONDIA,2004,82,23,56,38,38,0,39,83,399,23,501,0,203,1047,2494
MAHARASHTRA,GONDIA,2004,31,13,21,19,11,8,13,4,98,15,122,0,129,812,1277
MAHARASHTRA,GONDIA,2004,30,8,15,17,13,4,22,5,33,5,120,0,134,856,1245
MAHARASHTRA,GONDIA,2004,10,2,1,8,5,3,5,0,12,0,0,0,2,102,142
MAHARASHTRA,GONDIA,2004,118,45,83,59,49,10,14,21,37,8,229,0,268,900,1782
MAHARASHTRA,GONDIA,2004,8,0,0,2,0,2,5,0,3,0,1,0,0,0,19
MEGHALAYA,GARO HILLS EAST,2004,18,0,7,38,27,11,7,72,58,3,131,0,135,430,899
MEGHALAYA,GARO HILLS EAST,2004,22,1,28,50,38,12,6,83,4,13,113,0,66,2165,2551
MEGHALAYA,GARO HILLS EAST,2004,39,1,18,66,39,27,6,178,239,17,120,0,201,2078,2963
MEGHALAYA,GARO HILLS EAST,2004,44,1,14,33,31,2,18,113,40,6,86,0,114,689,1158
MEGHALAYA,GARO HILLS EAST,2004,27,4,14,67,45,22,9,108,127,5,205,0,129,1255,1950
MEGHALAYA,GARO HILLS EAST,2004,59,3,57,134,115,19,75,308,294,14,199,0,306,2654,4103
MEGHALAYA,GARO HILLS EAST,2004,1279,59,1038,2384,1881,503,673,5911,3101,379,6781,1,5579,67767,94952
MEGHALAYA,GARO HILLS EAST,2004,4,2,1,1,1,0,4,42,22,0,0,0,18,103,197
MEGHALAYA,GARO HILLS EAST,2004,3,0,0,0,0,0,0,2,2,0,0,0,3,7,17
MEGHALAYA,GARO HILLS EAST,2004,4,1,2,4,3,1,0,15,15,0,1,0,4,44,90
MEGHALAYA,GARO HILLS EAST,2004,5,0,0,0,0,0,1,5,37,0,0,0,4,42,94
MEGHALAYA,GARO HILLS EAST,2004,16,3,3,5,4,1,5,64,76,0,1,0,29,196,398
MEGHALAYA,GARO HILLS SOUTH,2004,79,0,33,36,24,12,26,342,87,32,94,0,642,9141,10512
MEGHALAYA,GARO HILLS SOUTH,2004,67,4,30,37,20,17,47,430,33,23,154,0,570,6266,7661
MEGHALAYA,GARO HILLS SOUTH,2004,1,0,0,1,1,0,5,2,7,1,1,0,6,362,386
MEGHALAYA,GARO HILLS SOUTH,2004,64,0,23,25,25,0,31,256,295,7,67,0,728,3854,5350
MEGHALAYA,GARO HILLS SOUTH,2004,17,0,4,8,4,4,17,148,194,4,29,0,185,1858,2464
MEGHALAYA,GARO HILLS SOUTH,2004,55,4,18,41,22,19,17,93,223,6,25,0,339,2792,3613
MEGHALAYA,GARO HILLS SOUTH,2004,39,0,22,23,14,9,10,62,173,2,23,0,128,1166,1648
MEGHALAYA,GARO HILLS SOUTH,2004,52,1,18,26,18,8,20,116,35,7,38,0,329,3256,3898
MEGHALAYA,GARO HILLS SOUTH,2004,59,0,13,22,20,2,20,150,24,7,21,0,449,2264,3029
MEGHALAYA,GARO HILLS SOUTH,2004,48,0,17,12,11,1,9,109,76,5,6,0,509,4903,5694
MEGHALAYA,GARO HILLS SOUTH,2004,30,2,3,12,12,0,7,139,4,0,54,0,177,1857,2285
MEGHALAYA,GARO HILLS SOUTH,2004,19,1,4,6,6,0,6,35,26,3,13,0,176,1738,2027
MEGHALAYA,GARO HILLS WEST,2004,46,0,9,27,21,6,9,80,170,8,31,0,306,2999,3685
MEGHALAYA,GARO HILLS WEST,2004,57,0,29,29,29,0,35,131,102,7,26,0,312,1433,2161
MEGHALAYA,GARO HILLS WEST,2004,16,0,8,27,23,4,18,79,71,5,38,0,103,1858,2223
MEGHALAYA,GARO HILLS WEST,2004,32,0,9,21,14,7,3,73,44,5,9,0,111,1466,1773
MEGHALAYA,GARO HILLS WEST,2004,31,0,7,18,18,0,3,42,87,8,39,0,275,1450,1960
MEGHALAYA,GARO HILLS WEST,2004,14,0,14,3,3,0,6,86,26,2,4,0,29,995,1179
MEGHALAYA,GARO HILLS WEST,2004,33,0,15,31,24,7,8,73,56,4,39,0,139,1125,1523
MEGHALAYA,GARO HILLS WEST,2004,30,0,11,22,16,6,5,71,161,2,35,0,140,2160,2637
MEGHALAYA,GARO HILLS WEST,2004,37,0,10,19,12,7,6,86,122,2,5,0,118,1669,2074
MEGHALAYA,GARO HILLS WEST,2004,73,1,56,102,101,1,28,92,160,12,254,0,322,1692,2792
MEGHALAYA,GARO HILLS WEST,2004,22,0,11,6,4,2,3,49,12,9,18,0,115,2131,2376
MEGHALAYA,GARO HILLS WEST,2004,29,0,13,21,16,5,7,91,31,7,40,0,109,1537,1885
NAGALAND,DIMAPUR,2004,63,3,33,31,24,7,13,56,52,2,45,0,91,129,518
NAGALAND,DIMAPUR,2004,31,2,56,97,94,3,13,2,81,1,112,0,81,207,683
NAGALAND,DIMAPUR,2004,19,0,36,43,43,0,6,28,74,2,23,0,44,297,572
NAGALAND,DIMAPUR,2004,7,1,1,9,6,3,6,23,3,0,21,0,15,37,123
NAGALAND,DIMAPUR,2004,79,1,91,139,134,5,32,237,346,6,203,0,238,756,2128
NAGALAND,DIMAPUR,2004,37,2,29,61,48,13,19,81,10,3,23,0,43,280,588
NAGALAND,DIMAPUR,2004,6,0,5,0,0,0,1,2,20,0,7,0,0,35,76
NAGALAND,DIMAPUR,2004,55,1,49,81,81,0,9,67,62,0,92,0,55,536,1007
NAGALAND,DIMAPUR,2004,87,2,87,108,101,7,33,181,156,5,167,0,175,576,1577
NAGALAND,DIMAPUR,2004,117,11,45,67,51,16,37,86,11,1,53,0,110,340,878
NAGALAND,DIMAPUR,2004,1214,63,1171,1906,1552,354,505,2544,3615,74,1945,0,2239,10040,25316
NAGALAND,DIMAPUR,2004,66,12,34,84,22,62,60,42,325,11,27,0,23,742,1426
ODISHA,DHENKANAL,2004,113,11,50,48,42,6,9,177,88,14,296,0,271,1898,2975
ODISHA,DHENKANAL,2004,152,5,20,51,31,20,35,208,143,11,147,0,299,1112,2183
ODISHA,DHENKANAL,2004,105,1,28,69,27,42,17,337,82,22,234,0,2058,1188,4141
ODISHA,GAJAPATI,2004,27,0,15,21,21,0,42,102,72,21,64,0,98,781,1243
ODISHA,GAJAPATI,2004,15,0,12,9,7,2,4,39,22,0,4,0,218,385,708
ODISHA,GAJAPATI,2004,21,2,22,11,7,4,26,58,59,2,20,0,38,344,603
ODISHA,GAJAPATI,2004,23,0,26,17,12,5,13,70,22,2,42,0,0,12,227
ODISHA,GAJAPATI,2004,31,0,19,8,7,1,19,56,18,29,10,0,0,623,813
ODISHA,GAJAPATI,2004,60,0,39,14,14,0,24,56,56,16,15,0,289,865,1434
ODISHA,GAJAPATI,2004,61,1,44,57,42,15,174,561,69,20,64,0,167,1383,2601
ODISHA,GAJAPATI,2004,56,0,40,20,16,4,28,112,72,1,46,0,72,800,1247
ODISHA,GAJAPATI,2004,43,2,19,2,2,0,4,22,7,1,12,0,21,188,321
ODISHA,GAJAPATI,2004,77,1,84,26,25,1,29,115,25,21,125,0,152,1101,1756
ODISHA,GAJAPATI,2004,30,1,17,20,14,6,20,48,11,1,10,0,28,226,412
ODISHA,GAJAPATI,2004,14,1,16,13,11,2,14,53,40,0,24,0,22,295,492
ODISHA,GANJAM,2004,60,0,43,86,67,19,31,203,85,30,276,0,348,2245,3407
ODISHA,GANJAM,2004,26,1,20,54,51,3,9,86,142,7,86,0,89,803,1323
ODISHA,GANJAM,2004,35,4,50,63,63,0,11,114,25,3,163,0,82,1777,2327
ODISHA,GANJAM,2004,15,3,14,21,15,6,7,122,28,9,69,0,85,1019,1392
ODISHA,GANJAM,2004,92,1,44,128,91,37,26,99,3,16,295,0,211,3995,4910
ODISHA,GANJAM,2004,37,4,44,157,118,39,55,292,186,11,342,0,249,3372,4749
ODISHA,GANJAM,2004,52,0,41,31,25,6,8,152,1,23,190,0,164,1758,2420
ODISHA,GANJAM,2004,17,0,47,99,84,15,17,128,88,4,228,0,99,1658,2385
ODISHA,GANJAM,2004,51,1,67,184,144,40,40,298,138,7,501,0,195,1802,3284
ODISHA,GANJAM,2004,32,1,15,31,19,12,1,118,34,7,198,0,80,767,1284
ODISHA,GANJAM,2004,30,0,14,50,30,20,5,97,87,14,89,0,167,2734,3287
ODISHA,GANJAM,2004,32,0,31,44,27,17,22,88,65,12,127,0,83,651,1155
PUNJAB,FARIDKOT,2004,58,0,15,8,0,8,17,169,270,19,43,0,0,1524,2123
PUNJAB,FARIDKOT,2004,29,1,4,7,5,2,63,136,31,4,49,0,0,946,1270
PUNJAB,FARIDKOT,2004,44,2,11,11,4,7,12,156,191,14,53,0,0,903,1397
PUNJAB,FARIDKOT,2004,43,11,6,11,7,4,13,91,194,5,67,0,16,1079,1536
PUNJAB,FARIDKOT,2004,20,0,0,4,0,4,6,5,11,0,0,0,0,148,194
PUNJAB,FARIDKOT,2004,48,1,11,22,9,13,31,148,246,5,107,0,2,1678,2299
PUNJAB,FARIDKOT,2004,65,1,15,8,0,8,31,285,210,16,33,0,71,1905,2640
PUNJAB,FARIDKOT,2004,16,2,0,8,1,7,11,111,136,0,22,0,0,1476,1782
PUNJAB,FARIDKOT,2004,24,0,2,4,2,2,19,82,94,3,25,0,0,1518,1771
PUNJAB,FARIDKOT,2004,1519,57,291,592,286,306,1024,6093,6237,259,1588,0,277,52518,70455
PUNJAB,FARIDKOT,2004,18,2,12,11,6,5,31,191,312,0,213,0,0,4586,5376
PUNJAB,FARIDKOT,2004,22,3,0,0,0,0,1,14,3,0,3,0,4,0,50
PUNJAB,FATEHGARH SAHIB,2004,71,0,84,43,38,5,106,950,129,29,152,0,171,10572,12307
PUNJAB,FATEHGARH SAHIB,2004,6,0,1,1,0,1,24,10,3,0,1,0,2,283,331
PUNJAB,FATEHGARH SAHIB,2004,22,3,18,2,2,0,3,66,15,3,0,0,23,1008,1163
PUNJAB,FATEHGARH SAHIB,2004,56,2,62,19,14,5,36,244,40,17,55,0,70,1958,2559
PUNJAB,FATEHGARH SAHIB,2004,66,2,132,15,12,3,15,195,47,8,138,0,117,1644,2379
PUNJAB,FATEHGARH SAHIB,2004,49,0,54,9,2,7,24,151,13,23,52,0,56,765,1196
PUNJAB,FATEHGARH SAHIB,2004,60,0,25,18,11,7,29,107,34,6,32,0,49,999,1359
PUNJAB,FATEHGARH SAHIB,2004,48,0,82,30,21,9,70,315,107,16,216,0,150,4392,5426
PUNJAB,FATEHGARH SAHIB,2004,100,0,109,30,29,1,38,249,69,48,112,0,151,2590,3496
PUNJAB,FATEHGARH SAHIB,2004,14,1,34,3,3,0,4,46,6,1,11,0,23,452,595
PUNJAB,FATEHGARH SAHIB,2004,45,8,78,6,4,2,21,238,68,10,42,0,114,1304,1934
PUNJAB,FATEHGARH SAHIB,2004,86,13,58,52,34,18,109,882,140,31,147,0,205,3916,5639
PUNJAB,FAZILKA,2004,66,3,55,15,11,4,42,208,168,33,62,0,129,2468,3249
PUNJAB,FAZILKA,2004,33,0,42,4,4,0,6,110,21,18,48,0,87,601,970
PUNJAB,FEROZEPUR,2004,18,1,23,6,5,1,15,201,50,4,60,0,51,885,1314
PUNJAB,FEROZEPUR,2004,41,1,34,10,0,10,13,110,7,15,28,0,31,816,1106
PUNJAB,FEROZEPUR,2004,44,0,67,11,8,3,12,115,38,15,66,0,129,2064,2561
PUNJAB,FEROZEPUR,2004,30,2,98,19,14,5,41,281,119,4,126,0,89,3033,3842
PUNJAB,FEROZPUR,2004,42,2,71,19,16,3,11,148,40,5,60,0,77,2229,2704
PUNJAB,FEROZPUR,2004,65,0,52,36,18,18,74,707,76,39,50,0,144,1900,3143
PUNJAB,FEROZPUR,2004,69,0,141,30,23,7,40,348,87,40,161,0,105,2569,3590
PUNJAB,FEROZPUR,2004,60,2,64,17,3,14,43,421,35,33,64,0,187,2223,3149
PUNJAB,FEROZPUR,2004,21,3,74,10,10,0,8,126,22,17,23,0,72,1204,1580
PUNJAB,FEROZPUR,2004,36,0,47,10,9,1,19,230,12,8,72,0,0,1415,1849
PUNJAB,FEROZPUR,2004,40,1,74,15,11,4,63,277,114,15,96,0,75,1081,1851
PUNJAB,FEROZPUR,2004,12,0,21,5,3,2,4,53,27,3,22,0,13,416,576
PUNJAB,G.R.P,2004,31,0,12,15,14,1,36,194,114,5,132,0,127,550,1216
PUNJAB,G.R.P,2004,41,0,10,11,6,5,44,123,157,20,225,0,205,647,1483
PUNJAB,G.R.P,2004,57,1,24,19,16,3,59,294,391,4,246,0,187,678,1960
PUNJAB,G.R.P,2004,22,6,36,16,16,0,12,206,77,1,52,0,113,866,1407
PUNJAB,G.R.P,2004,48,2,39,20,16,4,38,183,131,18,195,0,166,986,1826
PUNJAB,G.R.P,2004,59,5,31,18,17,1,24,326,126,3,94,0,205,1078,1969
PUNJAB,G.R.P,2004,32,3,11,3,3,0,8,98,88,1,96,0,223,748,1311
PUNJAB,G.R.P,2004,47,1,31,8,8,0,11,126,26,3,46,0,58,391,748
PUNJAB,G.R.P,2004,27,1,30,21,19,2,23,179,47,2,54,0,94,588,1066
PUNJAB,G.R.P,2004,35,2,13,15,12,3,34,113,83,1,85,0,91,391,863
PUNJAB,G.R.P,2004,83,2,36,12,12,0,40,218,169,6,323,0,316,1242,2447
PUNJAB,G.R.P,2004,53,0,10,10,6,4,39,199,151,24,226,0,131,583,1426
RAJASTHAN,DHOLPUR,2004,96,0,14,39,31,8,5,111,74,7,120,0,317,1494,2277
RAJASTHAN,DHOLPUR,2004,145,8,40,69,69,0,43,941,32,43,517,0,788,1686,4312
RAJASTHAN,DHOLPUR,2004,96,1,31,47,23,24,17,392,105,13,293,0,473,1451,2919
RAJASTHAN,DHOLPUR,2004,8,0,0,0,0,0,1,0,0,0,0,0,2,133,144
RAJASTHAN,DHOLPUR,2004,163,0,46,88,60,28,36,349,133,32,397,0,437,2763,4444
RAJASTHAN,DHOLPUR,2004,121,1,56,136,62,74,71,1359,141,29,1142,2,482,1932,5472
RAJASTHAN,DHOLPUR,2004,123,9,85,124,98,26,25,236,184,61,717,0,360,1482,3406
RAJASTHAN,DHOLPUR,2004,108,4,43,70,46,24,23,242,122,18,400,0,352,2136,3518
RAJASTHAN,DHOLPUR,2004,60,1,33,28,13,15,13,197,53,13,362,0,243,1004,2007
RAJASTHAN,DHOLPUR,2004,112,3,29,46,32,14,15,179,125,6,230,0,357,1874,2976
RAJASTHAN,DHOLPUR,2004,183,23,56,63,52,11,36,290,171,21,251,0,522,1078,2694
RAJASTHAN,DHOLPUR,2004,127,10,52,49,32,17,19,257,53,41,229,0,449,686,1972
RAJASTHAN,DUNGARPUR,2004,55,0,45,17,13,4,36,203,49,7,30,0,90,785,1317
RAJASTHAN,DUNGARPUR,2004,84,4,143,31,27,4,42,559,77,10,134,0,384,3614,5082
RAJASTHAN,DUNGARPUR,2004,45,0,61,4,2,2,12,192,15,5,40,0,97,1437,1908
RAJASTHAN,DUNGARPUR,2004,111,1,123,13,13,0,44,307,111,2,64,0,0,1165,1941
RAJASTHAN,DUNGARPUR,2004,927,25,969,214,174,40,363,3720,790,71,741,0,1717,20143,29680
RAJASTHAN,DUNGARPUR,2004,23,3,13,3,2,1,11,147,18,2,6,0,121,390,737
RAJASTHAN,DUNGARPUR,2004,17,2,24,10,8,2,7,114,15,0,11,0,95,256,551
RAJASTHAN,DUNGARPUR,2004,40,5,37,13,10,3,18,261,33,2,17,0,216,646,1288
RAJASTHAN,DUNGARPUR,2004,92,5,40,215,122,93,271,931,162,10,768,0,165,6782,9441
RAJASTHAN,DUNGARPUR,2004,26,0,12,32,28,4,28,96,36,1,65,0,220,1603,2119
RAJASTHAN,DUNGARPUR,2004,4,0,2,0,0,0,1,3,4,0,3,0,17,48,82
RAJASTHAN,DUNGARPUR,2004,28,1,5,26,23,3,11,118,38,1,116,0,81,1174,1599
RAJASTHAN,G.R.P.,2004,253,4,187,178,113,65,302,2978,213,13,248,0,735,6451,11562
RAJASTHAN,G.R.P.,2004,71,7,48,27,22,5,49,321,128,8,83,0,353,1573,2668
RAJASTHAN,G.R.P.,2004,97,2,33,24,18,6,29,240,293,11,371,0,469,1122,2691
RAJASTHAN,G.R.P.,2004,100,3,63,70,51,19,130,843,524,0,174,0,427,2573,4907
RAJASTHAN,G.R.P.,2004,16,1,23,6,5,1,12,154,76,1,44,0,126,318,777
RAJASTHAN,G.R.P.,2004,20,0,19,10,7,3,39,207,55,2,60,0,81,517,1010
RAJASTHAN,G.R.P.,2004,42,3,31,25,25,0,41,241,65,5,70,0,135,1303,1961
RAJASTHAN,G.R.P.,2004,19,0,3,14,8,6,0,5,14,0,1,0,0,76,132
RAJASTHAN,G.R.P.,2004,28,1,9,38,26,12,1,40,55,0,0,0,34,439,645
RAJASTHAN,G.R.P. AJMER,2004,16,1,4,2,1,1,10,1,0,0,0,0,16,75,125
RAJASTHAN,G.R.P. JODHPUR,2004,124,7,54,54,18,36,81,142,2,2,5,0,51,434,956
RAJASTHAN,G.R.P.AJMER,2004,3,0,2,1,0,1,0,5,0,0,0,0,0,5,16
RAJASTHAN,G.R.P.AJMER,2004,3,0,1,1,0,1,0,20,0,0,0,0,0,40,65
RAJASTHAN,G.R.P.JODHPUR,2004,2,0,3,1,0,1,0,50,0,0,0,0,0,10,66
RAJASTHAN,G.R.P.JODHPUR,2004,35,2,20,15,0,15,6,250,2,0,0,0,0,320,650
RAJASTHAN,GANGANAGAR,2004,53,12,48,70,46,24,8,145,0,5,104,0,288,1046,1779
RAJASTHAN,GANGANAGAR,2004,34,8,14,16,14,2,5,30,0,4,13,0,76,147,347
RAJASTHAN,GANGANAGAR,2004,28,6,8,5,2,3,2,40,0,3,21,0,0,188,301
RAJASTHAN,GANGANAGAR,2004,35,2,11,14,9,5,0,55,0,7,18,0,65,161,368
RAJASTHAN,GANGANAGAR,2004,16,7,7,10,7,3,1,44,0,1,24,0,48,125,283
RAJASTHAN,GANGANAGAR,2004,23,1,14,16,11,5,11,39,0,3,14,0,69,115,305
RAJASTHAN,GANGANAGAR,2004,49,9,20,45,32,13,10,197,0,9,96,0,309,941,1685
RAJASTHAN,GANGANAGAR,2004,25,3,8,12,8,4,1,72,0,0,29,0,186,397,733
RAJASTHAN,GANGANAGAR,2004,44,9,21,16,10,6,7,103,0,3,42,0,121,350,716
RAJASTHAN,GANGANAGAR,2004,42,1,14,6,5,1,5,34,0,10,10,0,55,147,324
RAJASTHAN,GANGANAGAR,2004,775,148,390,463,311,152,86,1766,16,113,801,0,2181,7637,14376
RAJASTHAN,GANGANAGAR,2004,41,2,48,101,101,0,47,378,60,8,371,0,337,3400,4793
SIKKIM,EAST,2004,26,0,5,7,7,0,8,77,9,1,19,0,0,725,877
